ID,Herb_name,Herb_number,Herbarium,year_collected,continent,mainland_island,galapagos_other,island_group,galapagos_island,finch_beak,country,location,length_mean,width_mean,depth_mean,tip_distance_mean,Temp_mean,Temp_S_mean,Prec_mean,varP_mean,length_sd,width_sd,depth_sd,tip_distance_sd,Temp_sd,Temp_S_sd,Prec_sd,varP_sd,length_var,width_var,depth_var,tip_distance_var,Temp_var,Temp_S_var,Prec_var,varP_var,length_se,width_se,depth_se,tip_distance_se,Temp_se,Temp_S_se,Prec_se,varP_se
CAS_324635,CAS,324635,Herbarium,1942,South America,island,Galapagos,Galapagos,Baltra,0,Ecuador,NA,5.06,3.642,4.508,NA,24.35000038,155.2710266,188,96.07951355,0.3531288716601913,0.5786363279297282,0.636176076255623,NA,0,0,0,0,0.12469999999999987,0.33481999999999995,0.4047200000000002,NA,0,0,0,0,0.15792403236999736,0.2587740327003465,0.2845065904333326,NA,0,0,0,0
CAS_34021,CAS,34021,Herbarium,1899,South America,island,Galapagos,Galapagos,Isabela,1,Ecuador,NA,5.154285714285714,3.341428571428571,4.722857142857142,NA,19.799999239999998,128.2752686,345,83.07010651,0.9422996187140116,0.7592414761112692,1.1182086013756452,NA,0,0,0,0,0.8879285714285715,0.5764476190476191,1.2503904761904765,NA,0,0,0,0,0.3561557788040371,0.28696630440514365,0.42264312473333077,NA,0,0,0,0
CAS_34022,CAS,34022,Herbarium,1899,South America,island,Galapagos,Galapagos,Espanola,0,Ecuador,NA,6.408571428571428,2.8385714285714285,4.727142857142857,NA,23.25,179.684082,547,76.27940369,0.5120035342139924,0.18306907361508587,0.2886586384015028,NA,0,0,0,0,0.26214761904761885,0.033514285714285726,0.08332380952380955,NA,0,0,0,0,0.19351914598805345,0.06919360593321336,0.10910271014298509,NA,0,0,0,0
CAS_34024,CAS,34024,Herbarium,1899,South America,island,Galapagos,Galapagos,Floreana,0,Ecuador,NA,7.496666666666666,3.93,6.27,12.94,21.97916603,178.1656189,519,46.81369019,0.7516204716034105,0.707389567353096,0.5729746940310714,2.9915046381378043,0,0,0,0,0.5649333333333332,0.5004000000000003,0.32829999999999987,8.949099999999994,0,0,0,0,0.43394828160866256,0.4084115571332429,0.33080709383768253,1.7271460081108754,0,0,0,0
CAS_461168,CAS,461168,Herbarium,1932,South America,island,Galapagos,Galapagos,Baltra,0,Ecuador,NA,6.442,3.291,5.438,NA,24.35000038,155.2710266,188,96.07951355,1.4728868101641603,0.3962729138134755,0.9613046690132461,NA,0,0,0,0,2.1693955555555555,0.1570322222222222,0.9241066666666665,NA,0,0,0,0,0.46576770557387887,0.1253124982682183,0.3039912279436146,NA,0,0,0,0
CAS_461169,CAS,461169,Herbarium,1932,South America,island,Galapagos,Galapagos,Santiago,1,Ecuador,NA,4.7780000000000005,3.206,4.462,NA,22.69583321,151.0637817,247,78.51528931,0.5876847227326344,0.5569600025535447,0.49118450934676494,NA,0,0,0,0,0.3453733333333334,0.31020444444444456,0.24126222222222224,NA,0,0,0,0,0.1858422269919658,0.17612621736823977,0.1553261800928041,NA,0,0,0,0
CAS_461173,CAS,461173,Herbarium,1932,South America,island,Galapagos,Galapagos,Santiago,1,Ecuador,NA,7.318,4.03,6.388,9.509,22.69583321,151.0637817,247,78.51528931,1.3944875602010782,1.0033942395688746,1.0856825809907178,2.6898717441543565,0,0,0,0,1.9445955555555556,1.0068000000000001,1.1787066666666663,7.23541,0,0,0,0,0.4409756859006577,0.3173011188130291,0.34332297719008936,0.8506121325257475,0,0,0,0
CAS_461174,CAS,461174,Herbarium,1932,South America,island,Galapagos,Galapagos,Floreana,0,Ecuador,NA,7.847,3.419,5.588,11.502,21.97916603,178.1656189,519,46.81369019,1.2237742166483707,0.5644161191492988,0.7582113454996862,1.9231386383259588,0,0,0,0,1.4976233333333333,0.31856555555555544,0.5748844444444444,3.6984622222222225,0,0,0,0,0.3869913866397201,0.17848404846247617,0.2397674799559866,0.6081498353384815,0,0,0,0
CAS_461175,CAS,461175,Herbarium,1932,South America,island,Galapagos,Galapagos,Isabela,1,Ecuador,NA,5.048,2.834,4.754,9.653,19.799999239999998,128.2752686,345,83.07010651,0.5573309409837012,0.3895638586932828,0.5423242162724763,1.139639806644577,0,0,0,0,0.3106177777777778,0.15176000000000003,0.2941155555555557,1.2987788888888887,0,0,0,0,0.17624351839933797,0.12319090875547595,0.17149797536867764,0.3603857501190757,0,0,0,0
CAS_496955,CAS,496955,Herbarium,1967,South America,island,Galapagos,Galapagos,Campeon,0,Ecuador,Campeon,6.83,3.36,5.28,7.47,23.75833321,175.4841919,365,65.91323853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CAS_56623,CAS,56623,Herbarium,1905,South America,island,Galapagos,Galapagos,Fernandina,1,Ecuador,NA,5.45125,3.1437500000000003,NA,NA,22.37916756,130.9312439,310,79.1166153,0.969483478088056,0.4779102575648637,NA,NA,0,0,0,0,0.9398982142857143,0.22839821428571436,NA,NA,0,0,0,0,0.342764170802192,0.16896679196136233,NA,NA,0,0,0,0
CAS_56634,CAS,56634,Herbarium,1905,South America,island,Galapagos,Galapagos,Floreana,0,Ecuador,NA,7.3475,3.50375,5.505,NA,21.97916603,178.1656189,519,46.81369019,0.8046605317949747,0.6240406923545018,0.6885388255470524,NA,0,0,0,0,0.6474785714285713,0.3894267857142859,0.47408571428571417,NA,0,0,0,0,0.28449045929270006,0.22063170265010815,0.24343523632727096,NA,0,0,0,0
CAS_741302,CAS,741302,Herbarium,1964,South America,island,Galapagos,Galapagos,Santa Cruz,1,Ecuador,NA,4.093333333333334,2.398888888888889,3.427777777777778,NA,23.87083435,182.3141632,279,86.23344421,0.7655063683601855,0.36150534036319737,0.42387432623885635,NA,0,0,0,0,0.586,0.13068611111111117,0.17966944444444444,NA,0,0,0,0,0.25516878945339516,0.12050178012106579,0.14129144207961877,NA,0,0,0,0
CDRS_12628,CDRS,12628,Herbarium,2001,South America,island,Galapagos,Galapagos,Santiago,1,Ecuador,Bainbridge,4.665,1.8399999999999999,4.17,2.685,24.60941696,151.0727997,177.7751617,102.5722046,0.33234018715767777,0.24041630560342606,0.8485281374238568,3.7971634149717604,0,0,0,0,0.1104500000000003,0.05779999999999995,0.7199999999999996,14.41845,0,0,0,0,0.2350000000000003,0.16999999999999993,0.5999999999999998,2.685,0,0,0,0
CDRS_13775,CDRS,13775,Herbarium,1998,South America,island,Galapagos,Galapagos,San Cristobal,0,Ecuador,Cerro Punta Pitt,6.027692307692307,3.6523076923076925,5.031538461538461,6.751538461538462,24.07222176,169.8041534,483.6666565,85.86229706,0.9489920428728037,0.9232113684142059,0.5899554524686046,2.311582596959084,0,0,0,0,0.9005858974358972,0.8523192307692307,0.348047435897436,5.343414102564102,0,0,0,0,0.26320303619886265,0.25605276360836116,0.1636242026242394,0.6411176600620143,0,0,0,0
CDRS_16045,CDRS,16045,Herbarium,2001,South America,island,Galapagos,Galapagos,Santa Cruz,1,Ecuador,Botadero,6.13,2.52,3.98,8.285,22.32083321,170.2732544,239,97.56349945,0.6929646455628169,0.4384062043356595,0.4949747468305834,2.5385133444597057,0,0,0,0,0.4802000000000004,0.19220000000000007,0.24500000000000013,6.44405,0,0,0,0,0.4900000000000002,0.31,0.3500000000000001,1.795,0,0,0,0
CDRS_16356,CDRS,16356,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Ecuador,Puerto Villamil,4.7540000000000004,2.862,4.076,0,24.09583282,158.6083984,318,84.72167206,0.5843201177436903,0.3810774199555781,0.7752612462905648,0,0,0,0,0,0.34143000000000007,0.14522000000000004,0.6010299999999998,0,0,0,0,0,0.2613159007791145,0.17042300314218148,0.3467073694053819,0,0,0,0,0
CDRS_16359,CDRS,16359,Herbarium,2004,South America,island,Galapagos,Galapagos,Isabela,1,Ecuador,Volcan Sierra Negra,5.1579999999999995,2.0780000000000003,3.866,5.326,24.09583282,158.6083984,318,84.72167206,0.7695908003608148,0.3895766933480493,0.6087938895882581,1.9249493499830066,0,0,0,0,0.5922699999999995,0.15177000000000002,0.37063000000000024,3.7054299999999993,0,0,0,0,0.34417146889305034,0.17422399375516565,0.2722609042811693,0.8608635199612072,0,0,0,0
